Campaign Number,Start Date,End Date,Channel,Client,Address,Email,Phone,Contact,Audience,Location,Views,Engagement,Clicks,Conversions,Expense ($),Executive,CampaignType,Expense ($)
C001,2023-12-18 0:00:00,2024-01-10 0:00:00,YouTube,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Adults 18-40,USA,23458,7718,1056,702,"13,961.03",Lauren Riggs,Sign Up,
C002,2023-10-12 0:00:00,2023-11-09 0:00:00,Email,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Female 60+,LATAM,NA,8075,1360,182,"43,804.31",Brandon Townsend Jr.,Sales,"50,878.17"
C003,2023-05-18 0:00:00,2023-06-04 0:00:00,TikTok,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Male 40-60,Canada,45934,2446,1655,669,"36,007.47",Thomas Ryan,Sales,"76,729.41"
C004,2023-02-23 0:00:00,2023-03-09 0:00:00,Instagram,"Russell, Wilson and Rogers","27907 Deborah Hill Suite 235, Abigailbury, CO 58408",michael78@yahoo.com,(995)213-6315,Michael Howard,Female 18-40,Europe,30391,1700,2669,243,"37,425.85",Thomas Ryan,Sales,"42,784.94"
C005,2023-11-20 0:00:00,2023-12-11 0:00:00,Instagram,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Male 60+,Canada,52042,191,4242,753,"48,590.34",Jesus Rivera,Sales,"64,163.39"
C006,2023-09-19 0:00:00,2023-10-05 0:00:00,YouTube,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Male 60+,USA,40365,7775,1499,945,"26,693.82",Jesus Rivera,Sales,"51,897.34"
C007,2023-06-19 0:00:00,2023-07-09 0:00:00,Instagram,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Seniors 60+,Japan,51437,4435,97,498,"4,274.45",Thomas Ryan,Sales,"62,156.23"
C008,2023-07-08 0:00:00,2023-07-20 0:00:00,Facebook,Weaver-Hoover,"050 Andrews Green, North Renee, VT 22014-1131",jacqueline32@dominguez.biz,574-189-4981x166,Kathy Mahoney,Adults 40-60,UK,63951,4627,1858,798,"7,863.20",Brandon Townsend Jr.,Sales,"59,610.64"
C009,2023-04-24 0:00:00,2023-05-17 0:00:00,Email,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Adults 18-40,Australia,NA,8354,4208,527,"14,404.95",Jesus Rivera,Sign Up,
C010,2023-06-05 0:00:00,2023-06-07 0:00:00,Facebook,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Male 60+,USA,49877,8180,905,937,"26,039.88",Brandon Townsend Jr.,Sales,"30,846.65"
C011,2023-09-23 0:00:00,2023-10-04 0:00:00,YouTube,"Noble, Mcneil and Cooper","36911 Gay Streets Suite 795, Brentmouth, LA 62951-4782",sarahparks@yahoo.com,356-608-6335x0070,Mark Garcia,Male 60+,Australia,76265,894,2198,19,"13,777.14",Wesley Simon,Sales,"49,566.61"
C012,2023-12-24 0:00:00,2024-01-21 0:00:00,Facebook,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Male 60+,LATAM,12061,5983,3720,193,"21,295.14",Wesley Simon,Sales,"86,986.64"
C013,2023-05-22 0:00:00,2023-06-03 0:00:00,Email,Ramirez-Wilson,"6802 Scott Ways, Jasonbury, NM 94299-7873",robertellis@simpson-gutierrez.com,(414)086-9895x8325,Christine Nguyen,Female 18-40,USA,NA,7059,1447,763,"35,410.10",Becky Brown,Sales,"107,001.41"
C014,2023-04-27 0:00:00,2023-05-10 0:00:00,TikTok,Smith-Bailey,"055 Rebecca Ramp, Edwardsland, WY 72139-7625",bakerpaul@holland.com,054-495-6142x7992,Sharon Reeves,Adults 40-60,USA,53589,8009,3579,381,"42,260.22",Michael Camacho,Sales,"49,510.11"
C015,2023-02-13 0:00:00,2023-02-23 0:00:00,YouTube,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Adults 40-60,Japan,52012,2398,311,106,"44,445.65",Jesus Rivera,Sign Up,
C016,2023-11-02 0:00:00,2023-11-20 0:00:00,Facebook,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Male 60+,Canada,46834,6492,3250,699,"10,339.50",Lauren Riggs,Sales,"56,481.65"
C017,2023-10-23 0:00:00,2023-11-16 0:00:00,TikTok,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Seniors 60+,India,87131,3958,4546,221,"18,477.84",Thomas Ryan,Sales,"71,443.96"
C018,2023-03-28 0:00:00,2023-04-10 0:00:00,Facebook,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Seniors 60+,Japan,72204,6080,1948,237,"33,988.25",Jesus Rivera,Sign Up,
C019,2023-12-04 0:00:00,2023-12-26 0:00:00,TikTok,"Russell, Wilson and Rogers","27907 Deborah Hill Suite 235, Abigailbury, CO 58408",michael78@yahoo.com,(995)213-6315,Michael Howard,Teens 13-19,LATAM,18166,2849,4847,354,"27,654.57",Thomas Ryan,Sales,"24,945.03"
C020,2023-11-11 0:00:00,2023-11-16 0:00:00,Email,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Male 18-40,Australia,NA,9607,2657,890,"10,983.11",Lauren Riggs,Sales,"46,378.34"
C021,2023-12-27 0:00:00,2024-01-11 0:00:00,Email,Smith-Bailey,"055 Rebecca Ramp, Edwardsland, WY 72139-7625",bakerpaul@holland.com,054-495-6142x7992,Sharon Reeves,Male 40-60,USA,NA,6256,2286,531,"43,219.64",Michael Camacho,Sales,"23,153.00"
C022,2023-10-01 0:00:00,2023-10-28 0:00:00,Facebook,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Male 18-40,Europe,62876,4035,3722,260,"30,201.78",Thomas Ryan,Sales,"72,382.13"
C023,2023-06-19 0:00:00,2023-06-24 0:00:00,Facebook,"Hunt, Woods and Saunders","48531 Garcia Walk, Gonzalesville, WY 31844",rramsey@warren.com,1-628-025-3550x66010,April Brewer,Teens 13-19,Japan,26583,9185,1413,581,"49,463.69",Melissa Haynes,Sales,"34,599.14"
C024,2023-07-06 0:00:00,2023-07-20 0:00:00,Instagram,Walter Ltd,"591 Gallegos Shore, East Jennifer, VT 67675",gravessusan@gonzalez.com,4034303913,Sarah Warren,Male 18-40,Canada,1215,1832,3794,425,"2,983.58",Aaron Faulkner,Sales,"75,439.75"
C025,2023-07-15 0:00:00,2023-08-13 0:00:00,YouTube,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Female 40-60,Australia,79276,2404,3408,208,"12,205.58",Lauren Riggs,Sales,"71,938.03"
C026,2023-08-06 0:00:00,2023-08-09 0:00:00,TikTok,Riley PLC,"699 Anderson Glen, Parkerside, AZ 15616-1374",jennifer09@york.org,653.689.1510,Gary Reed,Male 18-40,LATAM,63453,3788,2515,492,"29,386.34",Kyle Serrano,Sales,"65,377.76"
C027,2023-09-27 0:00:00,2023-10-02 0:00:00,TikTok,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Male 40-60,Japan,52218,3238,2450,997,"41,018.12",Thomas Ryan,Sign Up,
C028,2023-11-30 0:00:00,2023-12-07 0:00:00,YouTube,Nunez-Bowers,"6821 Walker Via Suite 228, Lake Jessica, NE 05036-1909",michelle44@yahoo.com,(186)438-4897,James Woods,Female 60+,LATAM,42299,9326,2552,763,"29,155.51",Wesley Simon,Sign Up,
C029,2023-02-20 0:00:00,2023-03-01 0:00:00,Facebook,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Adults 40-60,India,32351,3417,3381,443,"25,073.88",Brandon Townsend Jr.,Sign Up,
C030,2023-08-12 0:00:00,2023-09-08 0:00:00,Email,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 18-40,Australia,NA,1677,729,958,"23,784.67",Kyle Serrano,Sales,"64,722.92"
C031,2023-02-18 0:00:00,2023-03-06 0:00:00,TikTok,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Male 40-60,India,54734,814,2089,167,"1,491.41",Lauren Riggs,Sales,"45,845.59"
C032,2023-09-08 0:00:00,2023-09-22 0:00:00,Facebook,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Female 40-60,Europe,2208,2309,2423,926,"40,680.13",Melissa Haynes,Sign Up,
C033,2023-12-07 0:00:00,2023-12-23 0:00:00,YouTube,Gray Ltd,"Unit 4555 Box 7398, DPO AE 23911-7290",owenmelinda@yahoo.com,1728597837,Mark Long,Adults 40-60,Japan,81576,10000,2916,112,"10,125.54",Jesus Rivera,Sales,"61,621.82"
C034,2023-06-21 0:00:00,2023-07-19 0:00:00,YouTube,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Female 18-40,UK,76659,5247,2547,46,"33,116.41",Thomas Ryan,Sign Up,
C035,2023-05-06 0:00:00,2023-05-30 0:00:00,Email,"Holmes, Johnson and Rodriguez","USCGC Erickson, FPO AE 00735-4383",polsen@alexander-smith.net,1-479-099-8390x29817,Anne Foley,Seniors 60+,UK,NA,5735,2844,560,"16,141.11",Wesley Simon,Sales,"55,061.03"
C036,2023-10-19 0:00:00,2023-11-10 0:00:00,Email,"Bradley, Jackson and Miller","190 Bradley Mill Suite 940, Craigbury, MO 18832",hansonpatrick@hunt.com,"""+35(5)1561435486""",Dr. David Glass Jr.,Seniors 60+,Australia,NA,3449,4199,196,"29,557.22",Melissa Haynes,Sales,"41,677.11"
C037,2023-01-31 0:00:00,2023-02-14 0:00:00,YouTube,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Seniors 60+,UK,54376,1027,2371,155,"23,431.50",Thomas Ryan,Sign Up,
C038,2023-07-08 0:00:00,2023-07-29 0:00:00,Instagram,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Male 40-60,Australia,53401,7986,2766,339,"8,152.59",Melissa Haynes,Sign Up,
C039,2023-12-22 0:00:00,2024-01-16 0:00:00,TikTok,"Bush, Mendez and Smith","791 Darryl Squares Suite 934, Holdenport, OH 41129-2197",churchtimothy@yahoo.com,#ERROR!,Patrick Williams,Teens 13-19,Europe,4701,6450,4786,837,"27,780.55",Brandon Townsend Jr.,Sales,"39,069.98"
C040,2023-07-17 0:00:00,2023-07-26 0:00:00,Instagram,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Seniors 60+,UK,59513,3950,4168,166,"39,300.07",Thomas Ryan,Sales,"35,084.20"
C041,2023-05-13 0:00:00,2023-05-21 0:00:00,Instagram,Mcbride-Finley,"438 Brent Roads Apt. 855, Tylerburgh, NY 69473",mcclainhannah@jensen-gilbert.com,(856)414-5259x269,Michael Freeman,Adults 18-40,India,8417,1807,3944,303,"16,209.56",Jesus Rivera,Sign Up,
C042,2023-09-07 0:00:00,2023-09-17 0:00:00,TikTok,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Male 18-40,Europe,72788,824,2735,769,"41,623.56",Melissa Haynes,Sales,"45,878.43"
C043,2023-02-18 0:00:00,2023-03-14 0:00:00,Facebook,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Teens 13-19,USA,88433,5585,3668,716,"46,147.61",Wesley Simon,Sales,"51,821.51"
C044,2023-01-17 0:00:00,2023-01-25 0:00:00,YouTube,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Seniors 60+,UK,96854,3287,1400,252,"11,001.04",Wesley Simon,Sales,"61,989.99"
